DF1000011662,年末所有者权益_其中：实收资本(股本）_其中：个人资本,QC47,VARCHAR,N,N,,,200,,TB11622018,SR10422013.DB10562012.TB11622018.DF1000011662,kejiting,20-MAR-18 01.19.49.663000000 PM,,,,,,N,N,公开
DF1000011663,年末所有者权益_其中：实收资本(股本）_其中：港澳台资本,QC48,VARCHAR,N,N,,,200,,TB11622018,SR10422013.DB10562012.TB11622018.DF1000011663,kejiting,20-MAR-18 01.19.49.663000000 PM,,,,,,N,N,公开
DF1000011664,年末所有者权益_其中：实收资本(股本）_其中：外商资本,QC36,VARCHAR,N,N,,,200,,TB11622018,SR10422013.DB10562012.TB11622018.DF1000011664,kejiting,20-MAR-18 01.19.49.679000000 PM,,,,,,N,N,公开
DF1000011665,对境外直接投资额,QC39,VARCHAR,N,N,,,200,,TB11622018,SR10422013.DB10562012.TB11622018.DF1000011665,kejiting,20-MAR-18 01.19.49.679000000 PM,,,,,,N,N,公开
DF1000011666,本年完成固定资产投资额,QC40,VARCHAR,N,N,,,200,,TB11622018,SR10422013.DB10562012.TB11622018.DF1000011666,kejiting,20-MAR-18 01.19.49.694000000 PM,,,,,,N,N,公开
DF1000011667,规模以上工业企业综合能源消费量(煤炭、石油、天然气、电等),QC41,VARCHAR,N,N,,,200,,TB11622018,SR10422013.DB10562012.TB11622018.DF1000011667,kejiting,20-MAR-18 01.19.49.694000000 PM,,,,,吨标准煤,N,N,公开
DF1000011668,2012年是否已列入“营业税改增值税”企业范围,QC70,VARCHAR,N,N,,,200,,TB11622018,SR10422013.DB10562012.TB11622018.DF1000011668,kejiting,20-MAR-18 01.19.49.710000000 PM,,,,,,N,N,公开
DF1000011669,2011年营业税税率,QC70_1,VARCHAR,N,N,,,200,,TB11622018,SR10422013.DB10562012.TB11622018.DF1000011669,kejiting,20-MAR-18 01.19.49.710000000 PM,,,,,,N,N,公开
DF1000011670,2012年改征增值税税率,QC70_2,VARCHAR,N,N,,,200,,TB11622018,SR10422013.DB10562012.TB11622018.DF1000011670,kejiting,20-MAR-18 01.19.49.726000000 PM,,,,,,N,N,公开
DF1000011671,2012年度实际税负,QC71,VARCHAR,N,N,,,200,,TB11622018,SR10422013.DB10562012.TB11622018.DF1000011671,kejiting,20-MAR-18 01.19.49.726000000 PM,,,,,,N,N,公开
DF1000011672,2012年度实际税负增加额,QC71_1,VARCHAR,N,N,,,200,,TB11622018,SR10422013.DB10562012.TB11622018.DF1000011672,kejiting,20-MAR-18 01.19.49.741000000 PM,,,,,,N,N,公开
DF1000011673,2012年度实际税负减少额,QC71_2,VARCHAR,N,N,,,200,,TB11622018,SR10422013.DB10562012.TB11622018.DF1000011673,kejiting,20-MAR-18 01.19.49.741000000 PM,,,,,,N,N,公开
